m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
128, 128, 2, 128, 128, 2, 42.833988
144, 144, 2, 144, 144, 2, 42.717941
160, 160, 2, 160, 160, 2, 42.935009
176, 176, 2, 176, 176, 2, 42.997337
192, 192, 2, 192, 192, 2, 43.157852
208, 208, 2, 208, 208, 2, 43.102367
224, 224, 2, 224, 224, 2, 43.177624
240, 240, 2, 240, 240, 2, 43.471699
256, 256, 2, 256, 256, 2, 42.213203
272, 272, 2, 272, 272, 2, 43.445461
288, 288, 2, 288, 288, 2, 42.617340
304, 304, 2, 304, 304, 2, 42.400764
320, 320, 2, 320, 320, 2, 42.570587
336, 336, 2, 336, 336, 2, 42.462059
352, 352, 2, 352, 352, 2, 42.469238
368, 368, 2, 368, 368, 2, 42.286964
384, 384, 2, 384, 384, 2, 42.240917
400, 400, 2, 400, 400, 2, 42.346714
416, 416, 2, 416, 416, 2, 41.876831
432, 432, 2, 432, 432, 2, 41.699806
448, 448, 2, 448, 448, 2, 41.904270
464, 464, 2, 464, 464, 2, 42.370678
480, 480, 2, 480, 480, 2, 41.726532
496, 496, 2, 496, 496, 2, 41.718250
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
16, 16, 16, 1, 1, 16, 43.885712
32, 16, 16, 1, 1, 16, 47.261539
48, 16, 16, 1, 1, 16, 47.261539
64, 16, 16, 1, 1, 16, 48.188236
80, 16, 16, 1, 1, 16, 49.548386
96, 16, 16, 1, 1, 16, 49.816216
112, 16, 16, 1, 1, 16, 50.009304
128, 16, 16, 1, 1, 16, 50.672165
144, 16, 16, 1, 1, 16, 50.730274
160, 16, 16, 1, 1, 16, 50.776859
176, 16, 16, 1, 1, 16, 50.815037
192, 16, 16, 1, 1, 16, 50.846897
208, 16, 16, 1, 1, 16, 50.873886
224, 16, 16, 1, 1, 16, 51.200001
240, 16, 16, 1, 1, 16, 51.200001
256, 16, 16, 1, 1, 16, 51.200001
272, 16, 16, 1, 1, 16, 50.950245
288, 16, 16, 1, 1, 16, 50.964058
304, 16, 16, 1, 1, 16, 51.200001
320, 16, 16, 1, 1, 16, 50.987553
336, 16, 16, 1, 1, 16, 50.997631
352, 16, 16, 1, 1, 16, 51.006794
368, 16, 16, 1, 1, 16, 50.831654
384, 16, 16, 1, 1, 16, 51.022839
400, 16, 16, 1, 1, 16, 50.860928
416, 16, 16, 1, 1, 16, 51.036419
432, 16, 16, 1, 1, 16, 50.730274
448, 16, 16, 1, 1, 16, 51.048069
464, 16, 16, 1, 1, 16, 50.190422
480, 16, 16, 1, 1, 16, 50.223431
496, 16, 16, 1, 1, 16, 51.062733
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
16, 16, 16, 1, 1, 16, 43.885712
16, 32, 32, 1, 1, 32, 47.261539
16, 48, 48, 1, 1, 48, 48.505264
16, 64, 64, 1, 1, 64, 49.151997
